Skater Name,Nationality,Gender,Age at Competition,Competition Name,Year,City,Country,Discipline,Short Program Score,Free Skate Score,Total Score,Technical Elements Score,Program Components Score,Deductions,Rank,Starting Order,Previous Season Rank,Number of Quad Jumps,Rule Changes Implemented
Jimmy Ma,USA,Male,26,2022 Four Continents,2022,Tallinn, Estonia,Men's Singles,80.12,160.25,240.37,135.00,105.37,0,7,21,8,1,Yes
Ekaterina Kurakova,Poland,Female,19,2022 European Championships,2022,Tallinn, Estonia,Ladies' Singles,65.98,130.15,196.13,106.00,90.13,0,10,20,12,0,Yes
Alexia Paganini,Switzerland,Female,20,2022 European Championships,2022,Tallinn, Estonia,Ladies' Singles,66.50,131.00,197.50,107.00,90.50,0,9,19,10,0,Yes
Anastasia Gubanova,Georgia,Female,19,2022 European Championships,2022,Tallinn, Estonia,Ladies' Singles,70.98,135.00,205.98,110.00,95.98,0,6,18,NA,0,Yes
Emmi Peltonen,Finland,Female,22,2022 European Championships,2022,Tallinn, Estonia,Ladies' Singles,64.50,128.50,193.00,104.00,89.00,0,12,17,15,0,Yes
Deniss Vasiljevs,Latvia,Male,22,2022 European Championships,2022,Tallinn, Estonia,Men's Singles,85.09,165.78,250.87,140.00,110.87,0,4,21,7,1,Yes
Morisi Kvitelashvili,Georgia,Male,26,2022 European Championships,2022,Tallinn, Estonia,Men's Singles,90.85,175.50,266.35,148.00,118.35,0,5,20,6,2,Yes
Paul Fentz,Germany,Male,29,2022 European Championships,2022,Tallinn, Estonia,Men's Singles,78.50,155.00,233.50,132.00,101.50,0,10,19,9,1,Yes
Mariah Bell,USA,Female,25,2022 Winter Olympics,2022,Beijing, China,Ladies' Singles,65.38,136.92,202.30,108.00,94.30,0,10,18,2,0,Yes
Karen Chen,USA,Female,22,2022 Winter Olympics,2022,Beijing, China,Ladies' Singles,64.11,131.52,195.63,105.00,90.63,0,16,17,3,0,Yes
